Model,Quantity,Avg_Quality,Max_Quality,Unique_Keys,Novelty_Score,Novelty_Ratio,Matched_Standard,ModelName,Snippet,Color,Norm_Quantity,Norm_Quality,Norm_Novelty,Composite_Score
claude_4.5_snippet_1,7,7.857142857142857,9,13,11,0.8461538461538461,2,claude,1,#FF6B6B,0.571346950435652,0.832250512773703,0.7776913676258194,0.7017987316046774
claude_4.5_snippet_2,10,8.6,10,17,13,0.7647058823529411,4,claude,2,#FF6B6B,0.999857163262391,0.999774486957829,0.9998889012331964,0.99981582511011
gemini_3flash_snippet_1,6,4.166666666666667,5,5,4,0.8,1,gemini,1,#4ECDC4,0.428510212826739,0.0,0.0,0.2142551064133695
gemini_3flash_snippet_2,6,4.333333333333333,5,6,4,0.6666666666666666,2,gemini,2,#4ECDC4,0.428510212826739,0.03758550702848969,0.0,0.23304785992761434
gemini_3pro_snippet_1,5,5.2,6,6,5,0.8333333333333334,1,gemini,1,#4ECDC4,0.285673475217826,0.23303014357663684,0.11109876680368849,0.2593518093972314
gemini_3pro_snippet_2,3,5.0,5,5,4,0.8,1,gemini,2,#4ECDC4,0.0,0.18792753514244903,0.0,0.09396376757122452
gpt_5_snippet_1_snippet_1,6,4.5,5,5,4,0.8,1,gpt,1,#45B7D1,0.428510212826739,0.07517101405697957,0.0,0.25184061344185926
gpt_5_snippet_2_snippet_1,5,4.6,5,5,4,0.8,1,gpt,1,#45B7D1,0.285673475217826,0.09772231827407338,0.0,0.19169789674594967
grok_4.1_snippet_1,5,6.4,7,10,9,0.9,1,grok,1,#95E1D3,0.285673475217826,0.5036457941817636,0.5554938340184424,0.3946596346997948
grok_4.1_snippet_2,6,5.833333333333333,6,8,6,0.75,2,grok,2,#95E1D3,0.428510212826739,0.37585507028489806,0.22219753360737698,0.4021826415558185
